"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLERDUS","198809","1.453","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198810","1.456","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198811","1.456","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198812","1.423","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198813","1.466","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198901","1.427","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198902","1.45","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198903","1.444","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198904","1.436","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198905","1.453","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198906","1.455","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198907","1.441","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198908","1.447","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198909","1.46","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198910","1.454","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198911","1.442","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198912","1.428","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","198913","1.445","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","199001","1.446","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","199002","1.466","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","199003","1.457","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","199004","1.473","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","199005","1.478","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","199006","1.466","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","199007","1.446","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","199008","1.445","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","199009","1.447","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","199010","1.462","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","199011","1.448","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","199012","1.424","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","199013","1.455","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","199101","1.454","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","199102","1.47","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","199103","1.455","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
"CLERDUS","199104","1.473","1","Cost of Coal Receipts at Electric Generating Plants","Dollars per Million Btu, Including Taxes"
